[DISCOVERED] Peer 1: "MacThroughput" at 10.188.1.213:7354
[STATUS] 5530 sec: peers=10, msgs=31614, connected=no
[CONNECTED] Peer 2
[CAPS] Peer 2: max_msg=4096 chunk=1024 pressure=0 [FRAG]
[CAPS] Peer buffer: recv_buf=8192 optimal_chunk=2048
[CAPS] Effective max message: 4096 bytes
[CAPS] Optimal chunk for peer: 1024 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[ECHO] 8300 messages echoed
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[ECHO] 8400 messages echoed
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[ECHO] 8500 messages echoed
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
